tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,peak_search
tt1312171,tvSeries,The Umbrella Academy,The Umbrella Academy,0,2019.0,2024.0,60,"Action,Adventure,Comedy",7.8,314441,100.0
tt4236770,tvSeries,Yellowstone,Yellowstone,0,2018.0,2024.0,60,"Drama,Western",8.6,309700,100.0
tt2243973,tvSeries,Hannibal,Hannibal,0,2013.0,2015.0,45,"Crime,Drama,Horror",8.5,308398,100.0
tt14452776,tvSeries,The Bear,The Bear,0,2022.0,2026.0,30,"Comedy,Drama",8.5,308196,100.0
tt2661044,tvSeries,The 100,The 100,0,2014.0,2020.0,43,"Action,Drama,Sci-Fi",7.5,303611,100.0
tt5675620,tvSeries,The Punisher,The Punisher,0,2017.0,2019.0,60,"Action,Crime,Drama",8.4,301795,100.0
tt8772296,tvSeries,Euphoria,Euphoria,0,2019.0,2026.0,60,Drama,8.2,301584,100.0
tt2741602,tvSeries,The Blacklist,The Blacklist,0,2013.0,2023.0,43,"Crime,Drama,Mystery",7.9,300501,100.0
tt5834204,tvSeries,The Handmaid's Tale,The Handmaid's Tale,0,2017.0,2025.0,60,"Drama,Sci-Fi,Thriller",8.3,296968,100.0
tt1442449,tvSeries,Spartacus,Spartacus,0,2010.0,2013.0,60,"Action,Adventure,Biography",8.4,295444,100.0
tt9288030,tvSeries,Reacher,Reacher,0,2022.0,,50,"Action,Crime,Drama",8.0,292811,100.0
tt4786824,tvSeries,The Crown,The Crown,0,2016.0,2023.0,60,"Biography,Drama,History",8.6,280845,100.0
tt9253284,tvSeries,Andor,Andor,0,2022.0,2025.0,60,"Action,Adventure,Drama",8.6,274989,100.0
tt1826940,tvSeries,New Girl,New Girl,0,2011.0,2018.0,22,"Comedy,Romance",7.8,263049,100.0
tt3749900,tvSeries,Gotham,Gotham,0,2014.0,2019.0,42,"Action,Crime,Drama",7.8,251481,100.0
tt1843230,tvSeries,Once Upon a Time,Once Upon a Time,0,2011.0,2018.0,60,"Adventure,Fantasy,Romance",7.7,247739,100.0
tt1606375,tvSeries,Downton Abbey,Downton Abbey,0,2010.0,2015.0,60,"Drama,Romance",8.7,246035,100.0
tt6257970,tvSeries,The End of the F***ing World,The End of the F***ing World,0,2017.0,2019.0,25,"Adventure,Comedy,Crime",8.0,245928,100.0
tt5687612,tvSeries,Fleabag,Fleabag,0,2016.0,2019.0,30,"Comedy,Drama",8.7,245822,100.0
tt3920596,tvSeries,Big Little Lies,Big Little Lies,0,2017.0,2026.0,50,"Crime,Drama,Mystery",8.4,244711,100.0
tt2788316,tvSeries,Shōgun,Shogun,0,2024.0,2026.0,60,"Action,Adventure,Drama",8.6,244648,100.0
tt7221388,tvSeries,Cobra Kai,Cobra Kai,0,2018.0,2025.0,30,"Action,Comedy,Drama",8.4,242841,100.0
tt2357547,tvSeries,Jessica Jones,Jessica Jones,0,2015.0,2019.0,56,"Action,Crime,Drama",7.8,239128,100.0
tt2364582,tvSeries,Agents of S.H.I.E.L.D.,Agents of S.H.I.E.L.D.,0,2013.0,2020.0,45,"Action,Adventure,Sci-Fi",7.5,235143,100.0
tt3398228,tvSeries,BoJack Horseman,BoJack Horseman,0,2014.0,2020.0,25,"Animation,Comedy,Drama",8.8,232463,100.0
tt9561862,tvSeries,"Love, Death & Robots","Love, Death & Robots",0,2019.0,,15,"Action,Adventure,Animation",8.4,229168,100.0
tt8740790,tvSeries,Bridgerton,Bridgerton,0,2020.0,,60,"Drama,Romance",7.5,227792,100.0
tt9335498,tvSeries,Demon Slayer: Kimetsu no Yaiba,Kimetsu no Yaiba,0,2019.0,2024.0,24,"Action,Adventure,Animation",8.6,224943,100.0
tt4508902,tvSeries,One Punch Man,One Punch Man: Wanpanman,0,2015.0,,24,"Action,Animation,Comedy",8.6,224541,100.0
tt13207736,tvSeries,Monster,Monster,0,2022.0,,60,"Biography,Crime,Drama",7.7,222767,100.0
tt4955642,tvSeries,The Good Place,The Good Place,0,2016.0,2020.0,22,"Comedy,Drama,Fantasy",8.2,220241,100.0
tt0979432,tvSeries,Boardwalk Empire,Boardwalk Empire,0,2010.0,2014.0,60,"Crime,Drama",8.6,217817,100.0
tt14688458,tvSeries,Silo,Silo,0,2023.0,,49,"Drama,Mystery,Sci-Fi",8.1,212876,100.0
tt1751634,tvSeries,The Sandman,The Sandman,0,2022.0,2025.0,45,"Drama,Fantasy,Horror",7.6,209262,100.0
tt1839578,tvSeries,Person of Interest,Person of Interest,0,2011.0,2016.0,43,"Action,Crime,Drama",8.5,207371,100.0
tt11737520,tvSeries,One Piece,One Piece,0,2023.0,,60,"Action,Adventure,Comedy",8.3,205712,100.0
tt12343534,tvSeries,Jujutsu Kaisen,Jujutsu Kaisen,0,2020.0,,24,"Action,Adventure,Animation",8.5,205394,100.0
tt11691774,tvSeries,Only Murders in the Building,Only Murders in the Building,0,2021.0,,30,"Comedy,Crime,Drama",8.0,203316,100.0
